label,week_avg_temp,week_avg_rain,week_avg_humidity
21년 39주,21.386,5.825,80.171
21년 40주,18.814,4.6,80.229
21년 41주,12.143,2.5,61.571
21년 42주,11.643,0.0,63.614
21년 43주,13.1,0.7,67.314
21년 44주,10.314,7.0,71.9
21년 45주,7.786,0.0,64.686
21년 46주,7.4,1.8,70.571
21년 47주,4.157,13.6,58.871
21년 48주,3.771,0.25,60.114
21년 49주,4.2,1.333,70.1
21년 50주,0.986,0.75,63.743
21년 51주,-4.671,0.133,58.9
21년 52주,-3.343,0.075,49.471
22년 1주,-2.4,0.367,57.371
22년 2주,-4.414,0.55,52.929
22년 3주,0.471,0.7,60.386
22년 4주,-2.229,1.45,56.0
22년 5주,-2.957,0.0,51.743
22년 6주,0.629,0.567,55.843
22년 7주,-3.857,0.1,44.871
22년 8주,3.686,1.7,64.8
22년 9주,4.614,,51.829
22년 10주,10.1,17.8,71.843
22년 11주,6.471,3.95,61.243
22년 12주,9.829,10.367,62.229
22년 13주,10.029,,52.529
22년 14주,15.971,0.767,55.7
22년 15주,14.257,,49.9
22년 16주,18.157,0.867,60.7
22년 17주,14.971,7.75,54.729
22년 18주,18.529,0.625,52.171
22년 19주,18.5,1.5,51.2
22년 20주,21.114,3.5,62.143
22년 21주,21.1,0.0,56.843
22년 22주,22.257,1.433,61.729
22년 23주,21.943,8.06,69.671
22년 24주,23.871,0.35,76.614
22년 25주,25.457,34.46,86.329
22년 26주,27.857,48.075,77.943
22년 27주,26.986,20.883,79.829
22년 28주,26.186,9.0,78.514
22년 29주,26.257,6.675,79.057
22년 30주,28.714,32.56,78.371
22년 31주,27.5,39.257,85.171
22년 32주,26.6,7.783,80.357
22년 33주,26.414,17.875,76.386
22년 34주,21.7,11.44,75.629
22년 35주,22.6,59.7,74.771
22년 36주,23.871,0.033,64.5
22년 37주,23.929,6.333,68.7
22년 38주,19.529,3.3,63.629
22년 39주,19.614,25.925,77.257
22년 40주,13.357,6.8,72.371
22년 41주,14.229,,63.657
22년 42주,12.971,,63.129
22년 43주,13.657,,67.529
22년 44주,9.429,0.0,60.071
22년 45주,11.714,29.75,75.157
22년 46주,11.586,0.0,63.529
22년 47주,6.8,8.333,58.543
22년 48주,-0.943,0.433,51.414
22년 49주,0.857,2.0,58.8
22년 50주,-5.371,2.067,61.271
22년 51주,-6.171,0.1,62.671
22년 52주,-2.486,0.0,55.486
23년 1주,1.3,2.0,66.014
23년 2주,1.486,6.014,74.457
23년 3주,-5.086,0.25,57.643
23년 4주,-2.671,0.4,63.314
23년 5주,0.871,,60.829
23년 6주,3.586,0.3,62.9
23년 7주,2.043,0.2,55.7
23년 8주,3.429,,54.171
23년 9주,7.986,1.2,56.329
23년 10주,9.371,4.65,59.914
23년 11주,9.614,,43.914
23년 12주,11.443,0.0,46.857
23년 13주,16.157,28.6,46.086
23년 14주,10.529,2.8,62.4
23년 15주,14.086,1.525,65.786
23년 16주,14.629,0.3,54.071
23년 17주,15.043,9.033,62.086
23년 18주,16.786,38.85,65.357
23년 19주,20.271,0.0,55.657
23년 20주,20.557,0.5,62.314
23년 21주,21.586,15.28,72.0
23년 22주,21.5,0.0,68.643
23년 23주,21.971,9.529,73.057
23년 24주,24.314,15.65,66.814
23년 25주,25.357,8.2,75.457
23년 26주,26.229,35.475,83.286
23년 27주,25.7,29.5,79.7
23년 28주,25.257,30.0,89.986
23년 29주,27.514,11.9,79.471
23년 30주,29.157,8.433,72.971
23년 31주,29.886,2.55,68.086
23년 32주,25.714,33.65,81.671
23년 33주,28.086,16.9,75.314
23년 34주,24.786,12.317,82.157
23년 35주,26.143,0.133,71.957
23년 36주,25.2,15.9,67.3
23년 37주,23.386,19.9,82.557
23년 38주,21.029,8.525,73.129
23년 39주,19.271,9.6,67.414
23년 40주,16.529,0.6,60.543
23년 41주,15.714,5.8,68.071
23년 42주,14.129,4.65,68.914
23년 43주,16.086,0.0,72.114
23년 44주,14.643,16.175,74.171
23년 45주,4.529,5.1,59.914
23년 46주,5.4,4.2,65.371
23년 47주,2.457,1.233,58.457
23년 48주,1.557,1.9,58.843
23년 49주,9.143,3.933,74.4
23년 50주,-2.886,10.14,67.329
23년 51주,-4.229,0.9,66.614
23년 52주,1.886,3.68,80.629
24년 1주,-0.514,1.333,71.486
24년 2주,-0.4,6.4,62.943
24년 3주,-1.914,0.375,66.2
24년 4주,-0.471,,60.371
24년 5주,3.143,1.025,71.014
24년 6주,4.143,0.0,69.071
24년 7주,4.671,11.46,84.543
24년 8주,3.186,3.325,68.5
24년 9주,3.4,0.0,54.829
24년 10주,4.5,2.1,59.386
24년 11주,7.9,0.15,52.171
24년 12주,10.429,5.525,60.1
24년 13주,11.643,1.1,53.8
24년 14주,14.614,,46.7
24년 15주,16.7,6.467,63.629
24년 16주,16.614,4.6,61.771
24년 17주,18.443,,57.586
24년 18주,16.986,15.75,65.214
24년 19주,16.757,26.15,61.957
24년 20주,19.4,0.1,66.471
24년 21주,20.243,8.7,64.271
24년 22주,21.543,0.5,52.243
24년 23주,23.614,8.85,63.786
24년 24주,25.829,6.1,57.186
24년 25주,25.557,7.2,64.043
24년 26주,25.329,34.1,71.8
24년 27주,24.943,8.857,83.129
24년 28주,26.943,23.24,75.657
24년 29주,26.586,35.557,85.9
24년 30주,28.714,12.86,79.8
24년 31주,30.086,1.25,74.5
24년 32주,30.143,1.0,71.957
24년 33주,29.686,8.843,73.614
24년 34주,27.986,0.58,74.071
24년 35주,27.214,2.7,63.571
24년 36주,27.271,2.0,72.1
24년 37주,27.371,10.1,80.657
24년 38주,22.786,27.167,71.243
24년 39주,21.314,1.85,64.0
24년 40주,17.186,0.0,66.4
24년 41주,18.671,0.167,70.7
24년 42주,15.629,14.2,74.286
24년 43주,15.257,0.0,70.714
24년 44주,14.043,0.05,60.929
24년 45주,12.629,,58.986
24년 46주,10.114,2.2,57.114
24년 47주,6.457,12.1,65.714
24년 48주,2.786,0.771,72.829
24년 49주,1.8,1.8,54.4
24년 50주,-0.357,0.0,51.114
24년 51주,-0.214,1.133,58.171
24년 52주,0.614,0.0,56.043
25년 1주,-0.643,1.96,59.943
25년 2주,-3.871,0.467,56.2
25년 3주,1.957,0.0,67.114
25년 4주,0.943,1.967,59.829
25년 5주,-3.314,1.2,59.543
25년 6주,-3.971,1.3,62.129
25년 7주,0.957,,56.686
25년 8주,-0.971,,50.7
25년 9주,5.829,5.36,59.057
25년 10주,6.957,0.0,59.543
25년 11주,6.543,2.775,49.643
25년 12주,13.071,0.0,56.129
25년 13주,7.643,0.075,51.071
25년 14주,11.243,7.867,61.086
25년 15주,10.714,6.75,66.529
25년 16주,17.943,14.667,72.286
25년 17주,14.886,,43.757
25년 18주,13.486,9.467,64.829
25년 19주,16.771,10.567,67.214
25년 20주,19.514,11.44,78.657
25년 21주,19.657,1.575,61.471
25년 22주,21.414,0.0,57.529
25년 23주,23.314,0.175,59.414
25년 24주,24.957,11.1,67.657
25년 25주,24.214,12.48,75.014
25년 26주,25.74,0.425,80.02
